date,city,country,latitude,longitude,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,wind_max_kmh,humidity_pct
2015-05-13,Paris,Europe,48.86,2.35,18.9,6.1,13.5,1.5,13.3,72
2015-05-14,Paris,Europe,48.86,2.35,15.9,8.7,12.9,5.3,21.0,79
2015-05-15,Paris,Europe,48.86,2.35,15.0,6.9,11.0,0.3,19.2,80
2015-05-16,Paris,Europe,48.86,2.35,15.7,6.7,11.6,0.3,15.1,83
2015-05-17,Paris,Europe,48.86,2.35,17.3,5.7,12.1,0.0,10.5,74
2015-05-18,Paris,Europe,48.86,2.35,18.9,6.7,12.9,0.4,24.7,74
2015-05-19,Paris,Europe,48.86,2.35,14.6,7.2,10.7,1.0,25.5,67
2015-05-20,Paris,Europe,48.86,2.35,14.2,6.2,10.2,0.1,16.9,69
2015-05-21,Paris,Europe,48.86,2.35,16.4,5.4,11.6,0.1,12.3,70
2015-05-22,Paris,Europe,48.86,2.35,18.5,5.4,13.1,0.0,10.5,71
2015-05-23,Paris,Europe,48.86,2.35,19.6,10.5,15.0,0.0,13.4,76
2015-05-24,Paris,Europe,48.86,2.35,19.3,9.2,15.1,0.0,12.9,70
2015-05-25,Paris,Europe,48.86,2.35,17.8,11.7,14.3,1.6,20.9,77
2015-05-26,Paris,Europe,48.86,2.35,16.9,9.7,13.5,0.0,13.4,67
2015-05-27,Paris,Europe,48.86,2.35,20.1,8.1,14.9,0.0,9.5,66
2015-05-28,Paris,Europe,48.86,2.35,18.8,10.1,15.0,0.0,16.2,70
2015-05-29,Paris,Europe,48.86,2.35,17.4,10.6,13.9,1.2,21.7,67
2015-05-30,Paris,Europe,48.86,2.35,17.4,10.4,13.9,0.0,16.9,63
2015-05-31,Paris,Europe,48.86,2.35,16.8,11.1,14.4,6.0,26.6,82
2015-06-01,Paris,Europe,48.86,2.35,17.0,9.1,13.0,0.0,16.6,65
2015-06-02,Paris,Europe,48.86,2.35,21.8,11.0,16.2,0.2,32.8,65
2015-06-03,Paris,Europe,48.86,2.35,18.9,13.9,16.4,0.0,17.9,69
2015-06-04,Paris,Europe,48.86,2.35,24.8,9.8,18.0,0.0,12.4,65
2015-06-05,Paris,Europe,48.86,2.35,30.8,15.1,22.5,3.0,21.3,70
2015-06-06,Paris,Europe,48.86,2.35,20.8,12.5,16.4,0.0,15.9,59
2015-06-07,Paris,Europe,48.86,2.35,21.4,9.0,15.5,0.0,21.5,59
2015-06-08,Paris,Europe,48.86,2.35,19.3,9.9,14.9,0.0,25.3,54
2015-06-09,Paris,Europe,48.86,2.35,18.8,10.7,14.9,0.0,27.2,56
2015-06-10,Paris,Europe,48.86,2.35,21.6,11.0,17.1,0.0,22.8,56
2015-06-11,Paris,Europe,48.86,2.35,27.9,15.3,21.7,1.0,16.2,65
2015-06-12,Paris,Europe,48.86,2.35,26.5,17.2,21.6,1.1,24.2,68
2015-06-13,Paris,Europe,48.86,2.35,24.1,14.9,19.7,0.0,14.1,60
2015-06-14,Paris,Europe,48.86,2.35,23.5,13.5,18.5,0.2,17.0,60
2015-06-15,Paris,Europe,48.86,2.35,20.3,14.4,17.4,0.1,15.6,68
2015-06-16,Paris,Europe,48.86,2.35,21.1,11.5,16.7,0.0,19.6,54
2015-06-17,Paris,Europe,48.86,2.35,24.1,10.6,17.8,0.0,17.1,60
2015-06-18,Paris,Europe,48.86,2.35,18.4,14.6,16.9,2.9,19.8,82
2015-06-19,Paris,Europe,48.86,2.35,21.2,9.2,16.0,0.2,18.8,66
2015-06-20,Paris,Europe,48.86,2.35,21.0,11.1,16.7,0.0,14.3,68
2015-06-21,Paris,Europe,48.86,2.35,21.5,14.2,17.6,1.1,18.4,71
2015-06-22,Paris,Europe,48.86,2.35,17.3,11.9,14.5,1.2,20.6,74
2015-06-23,Paris,Europe,48.86,2.35,19.0,9.5,14.7,0.0,17.6,67
2015-06-24,Paris,Europe,48.86,2.35,23.5,8.6,17.2,0.0,8.4,61
2015-06-25,Paris,Europe,48.86,2.35,27.0,12.3,21.1,0.0,8.9,55
2015-06-26,Paris,Europe,48.86,2.35,30.1,15.3,23.5,0.0,17.6,50
2015-06-27,Paris,Europe,48.86,2.35,23.5,16.4,19.7,0.0,17.7,58
2015-06-28,Paris,Europe,48.86,2.35,28.4,13.1,21.3,0.0,19.1,53
2015-06-29,Paris,Europe,48.86,2.35,27.1,14.6,21.2,0.0,16.1,55
2015-06-30,Paris,Europe,48.86,2.35,31.7,15.7,24.6,0.0,12.8,47
2015-07-01,Paris,Europe,48.86,2.35,37.0,20.4,29.2,0.9,14.7,42
2015-07-02,Paris,Europe,48.86,2.35,30.8,20.7,25.9,0.2,17.4,60
2015-07-03,Paris,Europe,48.86,2.35,34.5,18.3,26.6,0.0,18.4,55
2015-07-04,Paris,Europe,48.86,2.35,32.4,23.0,28.0,0.3,15.2,52
2015-07-05,Paris,Europe,48.86,2.35,24.8,18.5,22.0,5.4,17.6,62
2015-07-06,Paris,Europe,48.86,2.35,28.5,15.7,22.5,0.0,12.1,55
2015-07-07,Paris,Europe,48.86,2.35,28.4,17.4,22.7,2.2,23.4,61
2015-07-08,Paris,Europe,48.86,2.35,20.3,14.4,17.6,0.5,26.4,61
2015-07-09,Paris,Europe,48.86,2.35,21.6,13.6,17.6,0.0,16.7,58
2015-07-10,Paris,Europe,48.86,2.35,27.1,11.3,19.9,0.0,15.7,47
2015-07-11,Paris,Europe,48.86,2.35,27.2,14.1,21.7,0.0,18.5,50
2015-07-12,Paris,Europe,48.86,2.35,24.6,13.2,19.4,0.1,15.4,62
2015-07-13,Paris,Europe,48.86,2.35,24.6,18.4,21.3,0.0,18.6,62
2015-07-14,Paris,Europe,48.86,2.35,25.4,17.6,21.1,0.0,13.8,65
2015-07-15,Paris,Europe,48.86,2.35,28.6,15.9,22.8,0.0,16.5,65
2015-07-16,Paris,Europe,48.86,2.35,35.0,17.5,26.6,0.0,18.5,57
2015-07-17,Paris,Europe,48.86,2.35,29.6,20.0,24.9,0.0,20.3,59
2015-07-18,Paris,Europe,48.86,2.35,27.6,18.5,22.5,1.4,12.6,58
2015-07-19,Paris,Europe,48.86,2.35,26.0,17.8,22.0,0.5,21.7,66
2015-07-20,Paris,Europe,48.86,2.35,26.0,20.2,22.6,2.5,19.1,73
2015-07-21,Paris,Europe,48.86,2.35,27.7,18.7,23.4,0.0,14.3,70
2015-07-22,Paris,Europe,48.86,2.35,26.8,17.8,21.7,1.8,16.9,61
2015-07-23,Paris,Europe,48.86,2.35,24.7,16.1,20.4,0.0,12.9,55
2015-07-24,Paris,Europe,48.86,2.35,28.8,16.3,21.7,2.3,25.1,57
2015-07-25,Paris,Europe,48.86,2.35,20.8,14.9,17.9,0.9,30.5,61
2015-07-26,Paris,Europe,48.86,2.35,19.6,10.8,15.8,6.2,23.4,74
2015-07-27,Paris,Europe,48.86,2.35,21.7,15.2,18.3,1.8,30.8,67
2015-07-28,Paris,Europe,48.86,2.35,18.9,13.7,16.1,0.2,24.2,64
2015-07-29,Paris,Europe,48.86,2.35,20.1,11.8,16.3,0.0,18.1,62
